"filename", "language", "pip requirements", "toml", "Python", "JSON", "Markdown", "comment", "blank", "total"
"d:\diplom\python-vercel-2\Pipfile", "toml", 0, 2, 0, 0, 0, 0, 1, 3
"d:\diplom\python-vercel-2\README.md", "Markdown", 0, 0, 0, 0, 14, 0, 11, 25
"d:\diplom\python-vercel-2\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\diplom\python-vercel-2\app\__main__.py", "Python", 0, 0, 3, 0, 0, 0, 2, 5
"d:\diplom\python-vercel-2\app\bot.py", "Python", 0, 0, 61, 0, 0, 1, 13, 75
"d:\diplom\python-vercel-2\app\data\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 1
"d:\diplom\python-vercel-2\app\data\callbacks.py", "Python", 0, 0, 28, 0, 0, 9, 9, 46
"d:\diplom\python-vercel-2\app\data\constants\__init__.py", "Python", 0, 0, 2, 0, 0, 0, 0, 2
"d:\diplom\python-vercel-2\app\data\constants\actions.py", "Python", 0, 0, 10, 0, 0, 0, 1, 11
"d:\diplom\python-vercel-2\app\data\constants\subjects.py", "Python", 0, 0, 17, 0, 0, 0, 1, 18
"d:\diplom\python-vercel-2\app\data\states\__init__.py", "Python", 0, 0, 8, 0, 0, 7, 3, 18
"d:\diplom\python-vercel-2\app\data\states\category.py", "Python", 0, 0, 8, 0, 0, 1, 4, 13
"d:\diplom\python-vercel-2\app\data\states\department.py", "Python", 0, 0, 10, 0, 0, 0, 3, 13
"d:\diplom\python-vercel-2\app\data\states\generic.py", "Python", 0, 0, 5, 0, 0, 4, 3, 12
"d:\diplom\python-vercel-2\app\data\states\login.py", "Python", 0, 0, 8, 0, 0, 0, 1, 9
"d:\diplom\python-vercel-2\app\data\states\menu.py", "Python", 0, 0, 12, 0, 0, 1, 3, 16
"d:\diplom\python-vercel-2\app\data\states\role.py", "Python", 0, 0, 23, 0, 0, 0, 3, 26
"d:\diplom\python-vercel-2\app\data\states\user.py", "Python", 0, 0, 26, 0, 0, 8, 11, 45
"d:\diplom\python-vercel-2\app\handlers\__init__.py", "Python", 0, 0, 9, 0, 0, 2, 3, 14
"d:\diplom\python-vercel-2\app\handlers\base.py", "Python", 0, 0, 18, 0, 0, 5, 3, 26
"d:\diplom\python-vercel-2\app\handlers\category.py", "Python", 0, 0, 48, 0, 0, 0, 8, 56
"d:\diplom\python-vercel-2\app\handlers\department.py", "Python", 0, 0, 49, 0, 0, 0, 8, 57
"d:\diplom\python-vercel-2\app\handlers\generic.py", "Python", 0, 0, 194, 0, 0, 3, 15, 212
"d:\diplom\python-vercel-2\app\handlers\login.py", "Python", 0, 0, 119, 0, 0, 125, 46, 290
"d:\diplom\python-vercel-2\app\handlers\menu.py", "Python", 0, 0, 71, 0, 0, 15, 17, 103
"d:\diplom\python-vercel-2\app\handlers\pages.py", "Python", 0, 0, 17, 0, 0, 47, 18, 82
"d:\diplom\python-vercel-2\app\handlers\role.py", "Python", 0, 0, 158, 0, 0, 1, 14, 173
"d:\diplom\python-vercel-2\app\handlers\user.py", "Python", 0, 0, 193, 0, 0, 8, 21, 222
"d:\diplom\python-vercel-2\app\keyboards\__init__.py", "Python", 0, 0, 2, 0, 0, 1, 2, 5
"d:\diplom\python-vercel-2\app\keyboards\by_subject\__init__.py", "Python", 0, 0, 4, 0, 0, 0, 0, 4
"d:\diplom\python-vercel-2\app\keyboards\by_subject\category.py", "Python", 0, 0, 69, 0, 0, 0, 16, 85
"d:\diplom\python-vercel-2\app\keyboards\by_subject\department.py", "Python", 0, 0, 81, 0, 0, 0, 18, 99
"d:\diplom\python-vercel-2\app\keyboards\by_subject\role.py", "Python", 0, 0, 157, 0, 0, 5, 31, 193
"d:\diplom\python-vercel-2\app\keyboards\by_subject\user.py", "Python", 0, 0, 178, 0, 0, 29, 35, 242
"d:\diplom\python-vercel-2\app\keyboards\menu.py", "Python", 0, 0, 203, 0, 0, 15, 37, 255
"d:\diplom\python-vercel-2\app\loader.py", "Python", 0, 0, 10, 0, 0, 0, 3, 13
"d:\diplom\python-vercel-2\app\utils\__init__.py", "Python", 0, 0, 5, 0, 0, 2, 3, 10
"d:\diplom\python-vercel-2\app\utils\config.py", "Python", 0, 0, 18, 0, 0, 1, 3, 22
"d:\diplom\python-vercel-2\app\utils\database.py", "Python", 0, 0, 97, 0, 0, 37, 14, 148
"d:\diplom\python-vercel-2\app\utils\processors.py", "Python", 0, 0, 41, 0, 0, 5, 8, 54
"d:\diplom\python-vercel-2\app\utils\tools.py", "Python", 0, 0, 37, 0, 0, 83, 22, 142
"d:\diplom\python-vercel-2\requirements.txt", "pip requirements", 38, 0, 0, 0, 0, 0, 1, 39
"d:\diplom\python-vercel-2\vercel.json", "JSON", 0, 0, 0, 21, 0, 0, 1, 22
"Total", "-", 38, 2, 2000, 21, 14, 415, 417, 2907
